,onset,trial_type,duration
1,0.5566049612575393,cue_b,0.5
2,1.0566049612575394,delay,1.5
3,2.5566049612575394,stim_by,1.0
6,4.582849582550148,cue_a,0.5
7,5.082849582550148,delay,3.0
8,8.082849582550148,stim_ax,1.0
11,11.756553303904973,cue_b,0.5
12,12.256553303904973,delay,1.5
13,13.756553303904973,stim_by,1.0
16,16.176949422941462,cue_a,0.5
17,16.676949422941462,delay,3.0
18,19.676949422941462,stim_ax,1.0
21,22.315726503445244,cue_b,0.5
22,22.815726503445244,delay,3.0
23,25.815726503445244,stim_bx,1.0
26,28.300409262052217,cue_a,0.5
27,28.800409262052217,delay,1.5
28,30.300409262052217,stim_ax,1.0
31,32.31797966197745,cue_a,0.5
32,32.81797966197745,delay,3.0
33,35.81797966197745,stim_ay,1.0
36,37.83984268862153,cue_a,0.5
37,38.33984268862153,delay,3.0
38,41.33984268862153,stim_ax,1.0
41,43.529544573187565,cue_a,0.5
42,44.029544573187565,delay,3.0
43,47.029544573187565,stim_ax,1.0
46,49.26976172425747,cue_b,0.5
47,49.76976172425747,delay,4.5
48,54.26976172425747,stim_bx,1.0
51,56.678311546980055,cue_a,0.5
52,57.178311546980055,delay,3.0
53,60.178311546980055,stim_ay,1.0
56,62.49950619536574,cue_b,0.5
57,62.99950619536574,delay,1.5
58,64.49950619536574,stim_by,1.0
61,67.69733789365537,cue_a,0.5
62,68.19733789365537,delay,3.0
63,71.19733789365537,stim_ax,1.0
66,74.76592665080305,cue_a,0.5
67,75.26592665080305,delay,4.5
68,79.76592665080305,stim_ax,1.0
71,81.86684955538897,cue_a,0.5
72,82.36684955538897,delay,1.5
73,83.86684955538897,stim_ax,1.0
76,86.62936347199707,cue_b,0.5
77,87.12936347199707,delay,1.5
78,88.62936347199707,stim_by,1.0
81,91.26552917756834,cue_a,0.5
82,91.76552917756834,delay,1.5
83,93.26552917756834,stim_ay,1.0
86,97.02358548807867,cue_a,0.5
87,97.52358548807867,delay,1.5
88,99.02358548807867,stim_ax,1.0
91,101.0965297476272,cue_b,0.5
92,101.5965297476272,delay,3.0
93,104.5965297476272,stim_by,1.0
96,106.71069099372822,cue_b,0.5
97,107.21069099372822,delay,1.5
98,108.71069099372822,stim_bx,1.0
101,111.15400908307753,cue_a,0.5
102,111.65400908307753,delay,3.0
103,114.65400908307753,stim_ay,1.0
106,116.85386899076718,cue_a,0.5
107,117.35386899076718,delay,1.5
108,118.85386899076718,stim_ax,1.0
111,121.70420777108862,cue_b,0.5
112,122.20420777108862,delay,1.5
113,123.70420777108862,stim_bx,1.0
116,127.27018883429484,cue_a,0.5
117,127.77018883429484,delay,4.5
118,132.27018883429486,stim_ay,1.0
121,134.6251939773881,cue_a,0.5
122,135.1251939773881,delay,3.0
123,138.1251939773881,stim_ay,1.0
126,140.20841266592018,cue_b,0.5
127,140.70841266592018,delay,3.0
128,143.70841266592018,stim_by,1.0
131,145.8468978386404,cue_a,0.5
132,146.3468978386404,delay,4.5
133,150.8468978386404,stim_ax,1.0
136,153.29631741456993,cue_b,0.5
137,153.79631741456993,delay,3.0
138,156.79631741456993,stim_by,1.0
141,159.13131682352062,cue_b,0.5
142,159.63131682352062,delay,3.0
143,162.63131682352062,stim_bx,1.0
146,164.71835035309317,cue_a,0.5
147,165.21835035309317,delay,3.0
148,168.21835035309317,stim_ay,1.0
151,170.4407878619523,cue_a,0.5
152,170.9407878619523,delay,1.5
153,172.4407878619523,stim_ax,1.0
156,175.00188547413066,cue_a,0.5
157,175.50188547413066,delay,4.5
158,180.00188547413066,stim_ax,1.0
161,183.77986894953355,cue_b,0.5
162,184.27986894953355,delay,1.5
163,185.77986894953355,stim_bx,1.0
166,188.28662050667364,cue_b,0.5
167,188.78662050667364,delay,4.5
168,193.28662050667364,stim_by,1.0
171,195.63958484342353,cue_a,0.5
172,196.13958484342353,delay,3.0
173,199.13958484342353,stim_ay,1.0
176,201.34624389062245,cue_a,0.5
177,201.84624389062245,delay,4.5
178,206.34624389062245,stim_ax,1.0
181,208.36243486222318,cue_b,0.5
182,208.86243486222318,delay,4.5
183,213.36243486222318,stim_by,1.0
186,216.22042405853665,cue_a,0.5
187,216.72042405853665,delay,1.5
188,218.22042405853665,stim_ax,1.0
191,220.2515630414011,cue_b,0.5
192,220.7515630414011,delay,3.0
193,223.7515630414011,stim_by,1.0
196,226.7220733773826,cue_a,0.5
197,227.2220733773826,delay,4.5
198,231.7220733773826,stim_ay,1.0
201,234.09038728713136,cue_b,0.5
202,234.59038728713136,delay,4.5
203,239.09038728713136,stim_bx,1.0
206,241.32397149670558,cue_a,0.5
207,241.82397149670558,delay,4.5
208,246.32397149670558,stim_ax,1.0
211,248.32511761280065,cue_a,0.5
212,248.82511761280065,delay,4.5
213,253.32511761280065,stim_ax,1.0
216,255.71242429351298,cue_a,0.5
217,256.212424293513,delay,4.5
218,260.712424293513,stim_ay,1.0
221,262.7531756541026,cue_a,0.5
222,263.2531756541026,delay,1.5
223,264.7531756541026,stim_ax,1.0
226,266.75872419304415,cue_b,0.5
227,267.25872419304415,delay,1.5
228,268.75872419304415,stim_bx,1.0
231,270.84880849032277,cue_a,0.5
232,271.34880849032277,delay,4.5
233,275.84880849032277,stim_ax,1.0
236,278.1148664005228,cue_b,0.5
237,278.6148664005228,delay,3.0
238,281.6148664005228,stim_bx,1.0
241,283.8473993603082,cue_b,0.5
242,284.3473993603082,delay,4.5
243,288.8473993603082,stim_bx,1.0
246,291.40985801625146,cue_a,0.5
247,291.90985801625146,delay,4.5
