,onset,trial_type,duration
1,1.013726706171397,start,1.15
4,3.3460209068909856,tsw_csw,1.15
7,6.244753042168494,tsw_csw,1.15
10,8.775367945567293,tst_csw,1.15
13,10.953503996181462,tst_csw,1.15
16,13.878039033091593,tst_csw,1.15
19,16.07615992636397,tsw_csw,1.15
22,18.243060552583866,tst_csw,1.15
25,20.63936053907693,tst_csw,1.15
28,22.925920183841143,tsw_csw,1.15
31,25.147448176190235,tst_cst,1.15
34,28.16835910390007,tst_cst,1.15
37,30.435730430694075,tsw_csw,1.15
40,32.939462679209626,tsw_csw,1.15
43,35.14972046783272,tsw_csw,1.15
46,37.4278657148209,tsw_csw,1.15
49,39.60437434022003,tst_csw,1.15
52,43.329015639766375,tsw_csw,1.15
55,45.52571037325319,tst_cst,1.15
58,48.70946987008526,tsw_csw,1.15
61,52.07759577111992,tst_csw,1.15
64,55.055666223825654,tst_csw,1.15
67,57.438349123107876,tsw_csw,1.15
70,60.35228919757849,tsw_csw,1.15
73,63.37279434603521,tst_cst,1.15
76,65.66803380536416,tsw_csw,1.15
79,68.48579440437943,tst_csw,1.15
82,71.0711589153863,tst_cst,1.15
85,73.62492284916782,tsw_csw,1.15
88,78.1005421562512,tsw_csw,1.15
91,81.07470586015897,tst_cst,1.15
94,83.97715970781137,tst_cst,1.15
97,86.37012504804218,tsw_csw,1.15
100,88.54529738831467,tsw_csw,1.15
103,91.52519253125858,tst_csw,1.15
106,93.77394636599121,tst_cst,1.15
109,96.16807601658567,tst_cst,1.15
112,98.39113220774443,tsw_csw,1.15
115,100.80565956729006,tsw_csw,1.15
118,103.78137152694275,tst_cst,1.15
121,105.98632574528358,tsw_csw,1.15
124,108.22397689864955,tst_csw,1.15
127,110.69468514451529,tsw_csw,1.15
130,112.87364362353924,tst_cst,1.15
133,115.09456863555043,tsw_csw,1.15
136,118.15983009058006,tsw_csw,1.15
139,120.42620739114466,tsw_csw,1.15
142,123.01472985259613,tsw_csw,1.15
145,125.99175733519255,tst_csw,1.15
148,128.8636512407888,tst_cst,1.15
151,131.4057908144747,tst_csw,1.15
