,onset,trial_type,duration
1,0.8213195132628724,incongruent,1.0
4,2.8296830241136166,congruent,1.0
7,5.06200959304542,incongruent,1.0
10,7.724143638975034,incongruent,1.0
13,10.20084242284195,congruent,1.0
16,12.25159902095531,congruent,1.0
19,14.869701520613788,congruent,1.0
22,17.143153250321106,incongruent,1.0
25,19.584632733796166,incongruent,1.0
28,21.945013330302434,incongruent,1.0
31,24.668663631998665,congruent,1.0
34,26.970827119013794,incongruent,1.0
37,29.48903715192198,incongruent,1.0
40,31.501806808343357,incongruent,1.0
43,33.59117863702182,incongruent,1.0
46,36.14716461238743,congruent,1.0
49,39.00081300770649,congruent,1.0
52,41.01100147677447,congruent,1.0
55,43.937161764295524,congruent,1.0
58,45.94495738252543,incongruent,1.0
61,48.297221738914736,congruent,1.0
64,50.49867703897164,congruent,1.0
67,52.75518487069801,congruent,1.0
70,55.675857394850674,congruent,1.0
73,59.31131845740953,congruent,1.0
76,61.43672836602006,incongruent,1.0
79,63.522201711758875,incongruent,1.0
82,66.20286534645335,incongruent,1.0
85,68.26469043723195,congruent,1.0
88,70.37068764442316,incongruent,1.0
91,72.51856896404637,incongruent,1.0
94,74.70652039584728,congruent,1.0
97,77.0155947162313,congruent,1.0
100,79.1151194120939,congruent,1.0
103,81.57020239379646,incongruent,1.0
106,84.36083109107167,incongruent,1.0
109,86.57236917715629,congruent,1.0
112,88.62232977456486,incongruent,1.0
115,91.64177729617379,incongruent,1.0
118,94.21892336475514,congruent,1.0
121,101.71892336475514,break_message,4.0
124,113.39342946565516,congruent,1.0
127,116.06310293573297,congruent,1.0
130,118.26523376534014,congruent,1.0
133,121.03974591313121,congruent,1.0
136,123.30618997644811,congruent,1.0
139,125.46137519929852,congruent,1.0
142,128.78796463324636,incongruent,1.0
145,130.82166471934062,congruent,1.0
148,132.929163958098,incongruent,1.0
151,135.6365500455808,congruent,1.0
154,138.3166588265383,incongruent,1.0
157,140.9071629397311,incongruent,1.0
160,143.45080010331475,incongruent,1.0
163,146.10861481474896,incongruent,1.0
166,148.51617883455134,incongruent,1.0
169,150.99526412283382,congruent,1.0
172,153.12060222335035,incongruent,1.0
175,155.49862873099806,congruent,1.0
178,159.3897434486154,congruent,1.0
181,163.6478216248475,incongruent,1.0
184,166.1467949447555,incongruent,1.0
187,168.5503579374556,congruent,1.0
190,171.4771308315696,incongruent,1.0
193,173.87025751872434,incongruent,1.0
196,176.78943079084158,congruent,1.0
199,178.80474714666306,incongruent,1.0
202,180.82359765690606,congruent,1.0
205,183.5734666767741,incongruent,1.0
208,185.5765815783964,congruent,1.0
211,188.6583105632673,incongruent,1.0
214,191.44667829219225,congruent,1.0
217,194.08542030569257,incongruent,1.0
220,196.1595143726089,congruent,1.0
223,198.68028008483418,incongruent,1.0
226,200.97790657222166,congruent,1.0
229,203.0272993790331,congruent,1.0
232,205.16250325684044,incongruent,1.0
235,207.42523882259573,congruent,1.0
238,209.79093384362454,incongruent,1.0
241,211.89028952855443,incongruent,1.0
244,219.39028952855443,break_message,4.0
247,230.99389158505704,incongruent,1.0
250,233.00149503635012,incongruent,1.0
253,236.26287473856422,congruent,1.0
256,238.32740464919007,congruent,1.0
259,240.6475824666404,incongruent,1.0
262,242.8600698889491,incongruent,1.0
265,245.49948378781525,congruent,1.0
268,248.5210444892576,incongruent,1.0
271,250.55862525587324,incongruent,1.0
274,252.80236557753423,incongruent,1.0
277,254.87900920680391,incongruent,1.0
280,257.27944546810375,congruent,1.0
283,260.0988446932787,congruent,1.0
286,262.84819859448675,congruent,1.0
289,265.31472569400773,congruent,1.0
292,268.2350699390407,incongruent,1.0
295,271.12177621805995,congruent,1.0
298,273.32277588888826,congruent,1.0
301,275.9032997439503,congruent,1.0
304,278.0583529801905,incongruent,1.0
307,281.0311234327704,congruent,1.0
310,283.32594084499146,congruent,1.0
313,285.5163262071994,incongruent,1.0
316,287.6340735269536,congruent,1.0
319,290.0154525565517,incongruent,1.0
322,292.4977160938948,incongruent,1.0
325,295.8809187853704,congruent,1.0
328,298.79464638963225,congruent,1.0
331,301.01736981158524,incongruent,1.0
334,303.12463784643376,congruent,1.0
337,305.1710469105125,incongruent,1.0
340,307.3387472423191,incongruent,1.0
343,309.59055023634477,incongruent,1.0
346,312.56779225009893,congruent,1.0
349,315.75472125739276,incongruent,1.0
352,317.95187059642467,incongruent,1.0
355,319.98340830113096,incongruent,1.0
358,322.0955418462088,congruent,1.0
361,324.3256462613493,congruent,1.0
364,326.5598413667609,congruent,1.0
367,334.0598413667609,break_message,4.0
