,onset,trial_type,duration
1,0.6986501782528068,go,1.0
4,3.1502884813305854,nogo,1.0
7,5.486862434264521,nogo,1.0
10,7.706159545482787,go,1.0
13,9.847968939811933,go,1.0
16,11.883668259296694,go,1.0
19,13.998897134215444,go,1.0
22,16.679275302988945,go,1.0
25,19.0295140274634,go,1.0
28,22.647808963815116,go,1.0
31,25.005139597687748,go,1.0
34,28.092585672154332,go,1.0
37,30.199312610715896,go,1.0
40,32.44257472900225,go,1.0
43,35.309720003274386,go,1.0
46,39.001633635323536,go,1.0
49,41.33651368523051,nogo,1.0
52,43.54896788996462,go,1.0
55,46.17015032082963,go,1.0
58,48.55538207798766,go,1.0
61,50.651847083530264,go,1.0
64,53.462488181608215,go,1.0
67,56.826981425617156,go,1.0
70,58.8315287143872,go,1.0
73,60.89632670280268,nogo,1.0
76,62.92524007868116,go,1.0
79,65.56535292049146,go,1.0
82,67.94501792659922,go,1.0
85,70.26861897501244,go,1.0
88,72.79971745261075,go,1.0
91,74.82046729524284,go,1.0
94,77.34779219755639,go,1.0
97,79.90107843617078,go,1.0
100,82.26400670457573,go,1.0
103,84.45956345165717,go,1.0
106,87.16112308781966,go,1.0
109,89.48813748408965,go,1.0
112,93.2473160969768,go,1.0
115,96.07204815167074,go,1.0
118,98.24859592619978,go,1.0
121,100.3187116286714,nogo,1.0
124,102.99770703390806,go,1.0
127,105.01339318035237,go,1.0
130,107.90984256511238,go,1.0
133,110.77459231456973,go,1.0
136,113.18134301047425,go,1.0
139,115.85673069006413,go,1.0
142,118.22931811593095,nogo,1.0
145,120.2310512329874,nogo,1.0
148,122.90795074217571,go,1.0
151,124.95713145226534,go,1.0
154,127.92804427347868,go,1.0
157,130.06977482926953,go,1.0
160,132.4895470583534,go,1.0
163,134.49942238086066,go,1.0
166,136.6245943134521,go,1.0
169,138.77305031780546,go,1.0
172,140.83595487466593,go,1.0
175,142.91998305455138,go,1.0
178,145.4695478556758,go,1.0
181,147.4711689497065,nogo,1.0
184,149.62012063711566,go,1.0
187,151.87080178580734,nogo,1.0
190,159.37080178580734,break_message,4.0
193,171.12480000187958,go,1.0
196,173.1606758644021,go,1.0
199,175.52804696888992,go,1.0
202,178.00187527270987,nogo,1.0
205,180.20554268225868,go,1.0
208,182.41905868129155,go,1.0
211,185.51884838264294,go,1.0
214,187.97475630898413,go,1.0
217,190.2415590714903,go,1.0
220,192.3750387734459,go,1.0
223,194.43891536503259,go,1.0
226,196.58539298782475,go,1.0
229,198.73319523593773,go,1.0
232,201.622416534914,go,1.0
235,203.6879899732915,nogo,1.0
238,206.35049352726216,go,1.0
241,208.6469071835761,go,1.0
244,210.6665999082394,nogo,1.0
247,214.87065098782892,nogo,1.0
250,216.87644334739198,go,1.0
253,219.88080003465237,go,1.0
256,222.7609699390531,go,1.0
259,224.83442756333758,go,1.0
262,227.54704481131293,go,1.0
265,229.74027214540865,go,1.0
268,232.4091880694275,go,1.0
271,234.5033918701794,nogo,1.0
274,236.6177365194569,go,1.0
277,239.20158051073892,nogo,1.0
280,241.97241469749787,go,1.0
283,244.75070026236384,go,1.0
286,247.10523965536103,go,1.0
289,249.60624371700465,go,1.0
292,251.67456190834758,go,1.0
295,253.78774490110558,go,1.0
298,255.8369093993384,go,1.0
301,258.08411214539717,go,1.0
304,260.1224969328161,nogo,1.0
307,262.27570662530024,go,1.0
310,264.5980274711918,go,1.0
313,267.8032072370263,go,1.0
316,273.18272764963825,go,1.0
319,275.4106848251509,go,1.0
322,278.23846500181935,go,1.0
325,280.38980899036636,go,1.0
328,282.42822072748805,go,1.0
331,284.4295545933489,go,1.0
334,287.6718506110542,go,1.0
337,290.07792120903196,go,1.0
340,292.2945479372989,go,1.0
343,294.3504965666654,go,1.0
346,296.5948807276659,nogo,1.0
349,299.3883314608569,go,1.0
352,301.4846899919374,go,1.0
355,303.5161491640754,nogo,1.0
358,305.63164319567267,go,1.0
361,308.93525218533216,go,1.0
364,311.0154798675092,go,1.0
367,313.3579301630424,go,1.0
370,316.31974505291646,go,1.0
373,318.5008735987208,go,1.0
376,321.0042172718382,go,1.0
379,323.11582250340535,go,1.0
382,330.61582250340535,break_message,4.0
385,341.76035501417164,go,1.0
388,344.04015223936403,go,1.0
391,346.1673594597431,go,1.0
394,348.26953387286414,go,1.0
397,350.4621948299288,go,1.0
400,352.6062009252251,go,1.0
403,355.91199735446105,nogo,1.0
406,358.2466294373338,go,1.0
409,360.3944565135882,go,1.0
412,362.7886738502885,go,1.0
415,364.8370368850663,go,1.0
418,366.85309816542957,go,1.0
421,369.12477354844174,go,1.0
424,371.32443756014703,go,1.0
427,374.02500930730423,go,1.0
430,376.1273615704059,go,1.0
433,378.5184472993108,nogo,1.0
436,381.5091983851548,go,1.0
439,383.82828695617826,go,1.0
442,386.5879537951936,go,1.0
445,388.8726175558483,go,1.0
448,390.8934126604738,nogo,1.0
451,393.5472692192685,go,1.0
454,395.85950057412094,nogo,1.0
457,398.12502521474926,nogo,1.0
460,400.3892317927197,go,1.0
463,402.72802417191343,go,1.0
466,404.8109836861657,go,1.0
469,406.83349639752663,go,1.0
472,409.4372025563599,go,1.0
475,412.2433993511536,nogo,1.0
478,414.29513698321847,go,1.0
481,416.74192042663674,go,1.0
484,419.12768559379117,go,1.0
487,422.5135697681934,go,1.0
490,424.75494338993394,go,1.0
493,427.8004455005129,go,1.0
496,430.1544164433956,go,1.0
499,432.42097891990295,go,1.0
502,434.5180597542366,go,1.0
505,437.01840499818934,nogo,1.0
508,439.2769100604418,go,1.0
511,441.5734923046739,go,1.0
514,444.34346390888436,go,1.0
517,446.4851428381268,go,1.0
520,448.6854607479217,go,1.0
523,451.8867712367686,go,1.0
526,454.42906404419824,go,1.0
529,457.0837544648532,go,1.0
532,459.6159855932802,go,1.0
535,462.1258400704684,go,1.0
538,465.4593628415993,go,1.0
541,467.5611326038123,nogo,1.0
544,469.6187274985907,go,1.0
547,472.3105135658312,go,1.0
550,474.4874366296068,nogo,1.0
553,478.16813681263653,go,1.0
556,480.32123151437224,go,1.0
559,482.37273672183187,go,1.0
562,487.0028876842327,go,1.0
565,489.12899410820796,go,1.0
568,491.15013639414383,go,1.0
571,493.16717072103455,go,1.0
574,500.66717072103455,break_message,4.0
