,onset,trial_type,duration
1,3.038344435153986,starter_trial,1.0
4,5.277629254836609,one_back,1.0
7,7.419367349221874,one_back,1.0
10,9.450164969240259,one_back,1.0
13,11.949751619151044,one_back,1.0
16,14.903132166326454,one_back,1.0
19,17.00644520155876,one_back,1.0
22,19.243930242012045,one_back,1.0
25,21.678790523048928,one_back,1.0
28,23.861571579635797,one_back,1.0
31,26.109458486255576,one_back,1.0
34,28.26163375658583,one_back,1.0
37,30.26547214634458,one_back,1.0
40,32.26547214634458,break_message,4.0
43,38.146742867040935,starter_trial,1.0
46,40.3647962736688,starter_trial,1.0
49,43.14730679705893,two_back,1.0
52,47.59606022805685,two_back,1.0
55,49.99142784492197,two_back,1.0
58,52.14856091575297,two_back,1.0
61,54.74426252299939,two_back,1.0
64,57.3051942536213,two_back,1.0
67,60.4712837310446,two_back,1.0
70,62.896420016809024,two_back,1.0
73,65.85850707298522,two_back,1.0
76,68.00803890296598,two_back,1.0
79,70.31349818398498,two_back,1.0
82,73.19974204663515,two_back,1.0
85,75.19974204663515,break_message,4.0
88,80.51233994115617,starter_trial,1.0
91,82.7589096064544,one_back,1.0
94,85.12011943543675,one_back,1.0
97,87.28822738036456,one_back,1.0
100,89.49833836814572,one_back,1.0
103,91.514305282119,one_back,1.0
106,93.65834380334958,one_back,1.0
109,95.70060630659569,one_back,1.0
112,97.77226225614908,one_back,1.0
115,99.7839848799114,one_back,1.0
118,101.78600858691567,one_back,1.0
121,104.01776475694412,one_back,1.0
124,106.21112163169269,one_back,1.0
127,108.21112163169269,break_message,4.0
130,113.47896786536315,starter_trial,1.0
133,115.56394022133584,starter_trial,1.0
136,117.7333459298857,two_back,1.0
139,119.86304954637329,two_back,1.0
142,121.98516459581266,two_back,1.0
145,124.10949134370408,two_back,1.0
148,126.56360585409321,two_back,1.0
151,128.94998724026894,two_back,1.0
154,131.11562906337184,two_back,1.0
157,133.88531605078785,two_back,1.0
160,136.16977750287307,two_back,1.0
163,140.53721167750734,two_back,1.0
166,143.09413540436648,two_back,1.0
169,146.011843903288,two_back,1.0
172,148.011843903288,break_message,4.0
175,153.06544769237462,starter_trial,1.0
178,155.25443309775343,one_back,1.0
181,157.5436361388978,one_back,1.0
184,159.60718358379552,one_back,1.0
187,162.34492298985003,one_back,1.0
190,164.42750828761174,one_back,1.0
193,167.00152069657466,one_back,1.0
196,171.02591970647035,one_back,1.0
199,173.31041018719372,one_back,1.0
202,175.61287293332455,one_back,1.0
205,178.64264819991013,one_back,1.0
208,181.15404923823777,one_back,1.0
211,183.5940216452331,one_back,1.0
214,185.5940216452331,break_message,4.0
217,190.82169974835557,starter_trial,1.0
220,192.83951478408534,starter_trial,1.0
223,196.05249357526515,two_back,1.0
226,198.3087229036751,two_back,1.0
229,200.36922947805664,two_back,1.0
232,203.47967192009563,two_back,1.0
235,205.641016273089,two_back,1.0
238,207.71904326229537,two_back,1.0
241,209.87830603817966,two_back,1.0
244,211.91802780580625,two_back,1.0
247,214.97829494896513,two_back,1.0
250,217.40663373045135,two_back,1.0
253,220.4102785641141,two_back,1.0
256,223.71141293647955,two_back,1.0
259,225.71141293647955,break_message,4.0
262,230.73339940356516,starter_trial,1.0
265,233.62929080811418,one_back,1.0
268,236.09612594457965,one_back,1.0
271,238.28659284748628,one_back,1.0
274,241.25895548615713,one_back,1.0
277,244.754164578741,one_back,1.0
280,246.82893512694736,one_back,1.0
283,249.01872710060755,one_back,1.0
286,251.27769018350577,one_back,1.0
289,253.5025758859297,one_back,1.0
292,256.17553056753513,one_back,1.0
295,258.39762685724867,one_back,1.0
298,260.6406377418177,one_back,1.0
301,262.6406377418177,break_message,4.0
304,267.7436548886212,starter_trial,1.0
307,270.0972973461046,starter_trial,1.0
310,272.95476156483244,two_back,1.0
313,275.02924204065556,two_back,1.0
316,277.1864080840747,two_back,1.0
319,279.3132186261899,two_back,1.0
322,282.33745324126016,two_back,1.0
325,284.7917227068315,two_back,1.0
328,287.1291180220627,two_back,1.0
331,289.67479240471533,two_back,1.0
334,292.3729355630488,two_back,1.0
337,294.4613804147758,two_back,1.0
340,296.53980632460184,two_back,1.0
343,299.6544106645783,two_back,1.0
346,301.6544106645783,break_message,4.0
349,307.76679390950676,starter_trial,1.0
352,309.7940273247924,one_back,1.0
355,312.70762707145406,one_back,1.0
358,314.8326117717284,one_back,1.0
361,316.8672250257109,one_back,1.0
364,319.2051050579412,one_back,1.0
367,321.39952617227067,one_back,1.0
370,323.4255235443753,one_back,1.0
373,326.64632935990153,one_back,1.0
376,330.5303096267281,one_back,1.0
379,332.55778794361936,one_back,1.0
382,334.6570910592433,one_back,1.0
385,336.7014686221288,one_back,1.0
388,338.7014686221288,break_message,4.0
391,343.81401802103414,starter_trial,1.0
394,345.99013827252384,starter_trial,1.0
397,348.20792757764906,two_back,1.0
400,350.7120621619053,two_back,1.0
403,353.04809051229626,two_back,1.0
406,355.41720854788474,two_back,1.0
409,358.16236186081926,two_back,1.0
412,360.2702809511667,two_back,1.0
415,362.3684373871236,two_back,1.0
418,364.49624650189645,two_back,1.0
421,366.53927398571216,two_back,1.0
424,368.54009696135836,two_back,1.0
427,370.6167147295309,two_back,1.0
430,373.2266233399833,two_back,1.0
433,375.2266233399833,break_message,4.0
