,onset,trial_type,duration
1,2.1783610023158517,emc,16.0
9,18.178361002315853,recall,5.0
11,26.425064386099972,emc,16.0
19,42.425064386099976,recall,5.0
21,50.74259201079028,emc,16.0
29,66.74259201079028,recall,5.0
31,74.56090338950365,emc,16.0
39,90.56090338950365,recall,5.0
41,97.71745654088897,emc,16.0
49,113.71745654088897,recall,5.0
51,123.88987076093798,emc,16.0
59,139.88987076093798,recall,5.0
61,151.25264510414004,emc,16.0
69,167.25264510414004,recall,5.0
71,174.40366268255818,emc,16.0
79,190.40366268255818,recall,5.0
81,201.40366268255818,break_message,4.0
84,215.83277124268787,emc,16.0
92,231.83277124268787,recall,5.0
94,239.45920467296168,emc,16.0
102,255.45920467296168,recall,5.0
104,264.0199674966278,emc,16.0
112,280.0199674966278,recall,5.0
114,294.20036347153984,emc,16.0
122,310.20036347153984,recall,5.0
124,322.0801091129408,emc,16.0
132,338.0801091129408,recall,5.0
134,352.9132690045343,emc,16.0
142,368.9132690045343,recall,5.0
144,376.01668011092335,emc,16.0
152,392.01668011092335,recall,5.0
154,399.94709350285,emc,16.0
162,415.94709350285,recall,5.0
164,426.94709350285,break_message,4.0
167,439.3246276293433,emc,16.0
175,455.3246276293433,recall,5.0
177,467.9561674858922,emc,16.0
185,483.9561674858922,recall,5.0
187,491.78660904771675,emc,16.0
195,507.78660904771675,recall,5.0
197,523.761282134521,emc,16.0
205,539.761282134521,recall,5.0
207,548.3680874510799,emc,16.0
215,564.3680874510799,recall,5.0
217,575.624516322398,emc,16.0
225,591.624516322398,recall,5.0
227,600.9047815154927,emc,16.0
235,616.9047815154927,recall,5.0
237,631.0276952465669,emc,16.0
245,647.0276952465669,recall,5.0
247,658.0276952465669,break_message,4.0
