,onset,trial_type,duration
1,0.8809972019413003,cue_cti_stim_invalid_cue_400,1.5
4,3.417355956111995,cue_cti_stim_no_cue_400,1.5
7,6.3323442602404105,cue_cti_stim_double_cue_400,1.5
10,11.862061574941483,cue_cti_stim_double_cue_400,1.5
13,15.481662290221228,cue_cti_stim_valid_cue_400,1.5
16,18.332813645504515,cue_cti_stim_no_cue_400,1.5
19,21.004348282397636,cue_cti_stim_no_cue_400,1.5
22,24.109625439660622,cue_cti_stim_valid_cue_400,1.5
25,27.008709980021074,cue_cti_stim_double_cue_400,1.5
28,29.528900822509925,cue_cti_stim_valid_cue_400,1.5
31,32.07048329521827,cue_cti_stim_valid_cue_400,1.5
34,36.22455309297166,cue_cti_stim_valid_cue_400,1.5
37,39.71962795227184,cue_cti_stim_double_cue_400,1.5
40,42.286074600773816,cue_cti_stim_double_cue_400,1.5
43,45.11339227600579,cue_cti_stim_invalid_cue_400,1.5
46,49.23246151604799,cue_cti_stim_valid_cue_400,1.5
49,51.99431898294332,cue_cti_stim_no_cue_400,1.5
52,54.75352168037148,cue_cti_stim_invalid_cue_400,1.5
55,57.773866449506905,cue_cti_stim_no_cue_400,1.5
58,60.42387460748633,cue_cti_stim_valid_cue_400,1.5
61,64.04377932884032,cue_cti_stim_invalid_cue_400,1.5
64,66.66698057422416,cue_cti_stim_double_cue_400,1.5
67,69.60169594940935,cue_cti_stim_double_cue_400,1.5
70,72.40794977544172,cue_cti_stim_double_cue_400,1.5
73,74.95611300227458,cue_cti_stim_no_cue_400,1.5
76,77.55765994902094,cue_cti_stim_double_cue_400,1.5
79,80.64497004232172,cue_cti_stim_double_cue_400,1.5
82,83.57231634319793,cue_cti_stim_valid_cue_400,1.5
85,87.06657029643436,cue_cti_stim_double_cue_400,1.5
88,90.04364999629695,cue_cti_stim_no_cue_400,1.5
91,92.85712360789519,cue_cti_stim_double_cue_400,1.5
94,95.94836894158749,cue_cti_stim_no_cue_400,1.5
97,98.45076313017442,cue_cti_stim_invalid_cue_400,1.5
100,101.45595682520545,cue_cti_stim_valid_cue_400,1.5
103,104.10616217754824,cue_cti_stim_valid_cue_400,1.5
106,107.61583514796405,cue_cti_stim_no_cue_400,1.5
109,110.39933291614787,cue_cti_stim_no_cue_400,1.5
112,114.43728810723566,cue_cti_stim_double_cue_400,1.5
115,117.1434682259876,cue_cti_stim_no_cue_400,1.5
118,119.83481486363743,cue_cti_stim_valid_cue_400,1.5
121,122.81419510016062,cue_cti_stim_valid_cue_400,1.5
124,125.54062592191451,cue_cti_stim_no_cue_400,1.5
127,128.3677148954306,cue_cti_stim_valid_cue_400,1.5
130,130.99449609566616,cue_cti_stim_valid_cue_400,1.5
133,133.7896701134387,cue_cti_stim_no_cue_400,1.5
136,136.44197267004392,cue_cti_stim_double_cue_400,1.5
139,139.73174048164307,cue_cti_stim_valid_cue_400,1.5
142,142.4264644998434,cue_cti_stim_no_cue_400,1.5
145,145.1128543567561,cue_cti_stim_double_cue_400,1.5
148,147.71121770225238,cue_cti_stim_no_cue_400,1.5
151,150.72037510710578,cue_cti_stim_double_cue_400,1.5
154,153.86028967826067,cue_cti_stim_valid_cue_400,1.5
157,156.77184105240244,cue_cti_stim_double_cue_400,1.5
160,159.34724764610982,cue_cti_stim_no_cue_400,1.5
163,162.23186570877425,cue_cti_stim_double_cue_400,1.5
166,164.88557728380513,cue_cti_stim_invalid_cue_400,1.5
169,167.75441144468263,cue_cti_stim_double_cue_400,1.5
172,170.3264665659359,cue_cti_stim_valid_cue_400,1.5
175,174.4502843491864,cue_cti_stim_double_cue_400,1.5
178,176.9550190480636,cue_cti_stim_no_cue_400,1.5
181,180.41432098725218,cue_cti_stim_double_cue_400,1.5
184,183.2518521418094,cue_cti_stim_no_cue_400,1.5
187,188.9442238807236,cue_cti_stim_no_cue_400,1.5
190,192.36329039404953,cue_cti_stim_no_cue_400,1.5
193,195.1751882803379,cue_cti_stim_double_cue_400,1.5
196,199.40551311238684,cue_cti_stim_double_cue_400,1.5
199,202.06437605788767,cue_cti_stim_no_cue_400,1.5
202,205.2248997629815,cue_cti_stim_valid_cue_400,1.5
205,207.95140499663393,cue_cti_stim_no_cue_400,1.5
208,210.8248738016391,cue_cti_stim_no_cue_400,1.5
211,213.7327513713726,cue_cti_stim_double_cue_400,1.5
214,217.44239568685984,cue_cti_stim_no_cue_400,1.5
217,225.44239568685984,break_message,4.0
220,236.85850958043352,cue_cti_stim_invalid_cue_400,1.5
223,240.3127502371464,cue_cti_stim_valid_cue_400,1.5
226,243.0998397001735,cue_cti_stim_double_cue_400,1.5
229,246.68755737247,cue_cti_stim_double_cue_400,1.5
