,onset,trial_type,duration
1,0.6606551192930528,go,1.0
4,4.011555960310236,go,1.0
7,6.190404653240512,stop,1.0
10,8.235131253253787,go,1.0
13,10.301864345758341,stop,1.0
16,13.067906066062614,go,1.0
19,15.138936640300853,go,1.0
22,17.221144391463643,stop,1.0
25,19.307274846765985,go,1.0
28,21.37168393742123,stop,1.0
31,23.449453049927847,go,1.0
34,25.573738818426445,go,1.0
37,28.029238768119903,go,1.0
40,30.099350460892808,stop,1.0
43,32.36057430416821,stop,1.0
46,34.36324482245327,go,1.0
49,36.37189257753466,go,1.0
52,38.593085773402905,stop,1.0
55,40.800185063659,go,1.0
58,42.88413868479281,stop,1.0
61,45.172130024561824,stop,1.0
64,47.24724394691595,go,1.0
67,49.91583026096049,go,1.0
70,52.767477226018364,go,1.0
73,54.951381226814796,go,1.0
76,57.04104872920621,go,1.0
79,61.2032513851648,go,1.0
82,63.740569248831775,go,1.0
85,65.87735423274474,stop,1.0
88,68.13082984236236,stop,1.0
91,71.10543688198668,go,1.0
94,73.28185489336035,go,1.0
97,75.33282935275405,go,1.0
100,77.50090493738577,go,1.0
103,80.26910261416536,go,1.0
106,82.38207444234683,go,1.0
109,84.62404003951502,go,1.0
112,86.81242792896091,stop,1.0
115,89.08240292166306,go,1.0
118,91.53519723547122,go,1.0
121,93.53871863855005,go,1.0
124,95.75874475575063,go,1.0
127,98.36430837800029,stop,1.0
130,100.40499755441036,go,1.0
133,102.99755290094203,go,1.0
136,105.89328909277255,go,1.0
139,109.00424689364209,go,1.0
142,111.2929973364982,stop,1.0
145,113.58688676420685,stop,1.0
148,115.6736180169402,go,1.0
151,117.91365553795309,stop,1.0
154,120.37915855797206,go,1.0
157,123.29765284694658,stop,1.0
160,125.49593087770407,stop,1.0
163,128.74282868187646,go,1.0
166,131.02076012593227,stop,1.0
169,133.0644200171237,go,1.0
172,135.39091693543247,go,1.0
175,137.4154880018032,stop,1.0
178,139.91073657916328,go,1.0
181,147.41073657916328,break_message,4.0
184,158.05239650947874,go,1.0
187,161.2748848555018,go,1.0
190,163.61450175571872,go,1.0
193,165.68702583207764,go,1.0
196,167.73362644953008,go,1.0
199,169.77017494455464,go,1.0
202,171.96951669160407,go,1.0
205,173.9931931402207,go,1.0
208,176.55898702667736,go,1.0
211,180.09682878352814,go,1.0
214,182.10649139823968,go,1.0
217,184.97672123569433,go,1.0
220,187.2023827873408,go,1.0
223,189.90023899856436,go,1.0
226,192.43842981382002,stop,1.0
229,194.7074743516773,stop,1.0
232,197.84511185210036,stop,1.0
235,200.09630842350788,stop,1.0
238,203.82705772872524,stop,1.0
241,206.43730404200713,stop,1.0
244,208.43838696383864,go,1.0
247,210.8785526165398,go,1.0
250,212.8967994637756,go,1.0
253,215.15266435803406,stop,1.0
256,217.216548216242,stop,1.0
