task_name,design_number,offset_last_stimulus_sec
stop_signal,11877,482.733
stop_signal,86074,483.551
stop_signal,98988,486.539
stop_signal,42475,482.123
stop_signal,67187,486.927
nback,15008,381.401
nback,6459,379.227
nback,12137,381.425
nback,60165,378.365
nback,15028,381.261
cued_ts_spatial_ts,65419,551.04
cued_ts_spatial_ts,92021,555.214
cued_ts_spatial_ts,28591,554.974
cued_ts_spatial_ts,24587,553.558
cued_ts_spatial_ts,56889,551.057
cued_ts_spatial_ts,15797,548.413
cued_ts_spatial_ts,13450,550.269
cued_ts_spatial_ts,12879,554.796
cued_ts_spatial_ts,32808,550.769
cued_ts_spatial_ts,41001,554.334
flanker_stroop,95424,337.753
flanker_stroop,48151,333.996
flanker_stroop,9816,337.574
flanker_stroop,63486,338.079
flanker_stroop,1166,336.971
visual_search,87903,611.084
visual_search,61658,613.511
visual_search,96680,613.504
visual_search,13448,613.833
visual_search,84709,609.758
ax_cpt,95854,936.74
ax_cpt,32054,940.178
ax_cpt,88518,935.311
ax_cpt,75924,940.178
ax_cpt,9013,938.991
gng,29158,505.988
gng,83273,509.079
gng,19206,510.016
gng,13081,509.342
gng,36853,506.104
span,9732,660.719
span,63968,662.077
span,96303,662.082
span,16073,661.247
span,62309,662.028
span,72724,661.953
span,96891,662.088
span,70707,661.668
span,80568,661.334
span,55180,662.055
span,14383,661.206
span,91002,660.773
span,75622,661.201
span,89853,661.238
span,78671,660.237
spatial_cueing,12560,676.69
spatial_cueing,94166,679.933
spatial_cueing,69789,685.611
spatial_cueing,47866,683.372
spatial_cueing,49965,684.43
