,onset,trial_type,duration
4,3.927078535974358,con_low,1.5
7,6.985292494045863,feat_high,1.5
10,9.51692250938112,con_high,1.5
13,12.78587158928571,con_low,1.5
16,15.592923513165385,feat_high,1.5
19,18.11928122381016,con_low,1.5
22,22.246993552714954,feat_high,1.5
25,25.461365162049486,feat_low,1.5
28,28.547199045589153,con_high,1.5
31,31.439893148702335,con_low,1.5
34,35.77257924113393,feat_low,1.5
37,38.598953795495284,feat_high,1.5
40,41.22064774808923,feat_low,1.5
43,43.79103691634584,feat_low,1.5
46,46.97997257419141,feat_high,1.5
49,50.05101809389643,con_high,1.5
52,55.221411125627405,feat_low,1.5
55,57.7801047099475,con_high,1.5
58,63.51873418618792,feat_high,1.5
61,66.0975081340005,con_high,1.5
64,68.7792563177656,con_high,1.5
67,73.32098826196247,con_low,1.5
70,76.1565512681631,con_low,1.5
73,78.80421667896978,con_low,1.5
76,81.38269332021264,feat_low,1.5
79,83.91765483433186,feat_high,1.5
82,87.06045688067725,con_high,1.5
85,90.17770168971387,con_high,1.5
88,92.76517194052724,con_high,1.5
91,97.08408099595654,feat_low,1.5
94,100.41276372571244,con_low,1.5
97,103.61592589369019,con_high,1.5
100,106.47941567633242,con_high,1.5
103,109.40828850967046,feat_low,1.5
106,111.99453227325752,feat_low,1.5
109,114.68387359999993,feat_low,1.5
112,117.37746085127353,con_low,1.5
115,119.93735155730833,con_low,1.5
118,122.6695330202916,con_high,1.5
121,125.30623077208328,feat_high,1.5
124,127.97997089309908,con_low,1.5
127,131.01829523909757,feat_low,1.5
130,134.3810173594816,feat_high,1.5
133,137.42437608616743,feat_low,1.5
136,140.3181321698653,feat_low,1.5
139,142.87463482700161,con_low,1.5
142,145.6754654129805,feat_low,1.5
145,148.24546484521846,con_high,1.5
148,150.87095625657213,feat_high,1.5
151,154.30779086102297,con_low,1.5
154,157.1275047647046,con_high,1.5
157,161.31652145909763,con_low,1.5
160,164.6082828919559,con_low,1.5
163,167.50745489835725,feat_high,1.5
166,170.54468234531066,feat_high,1.5
169,173.4319005431758,con_high,1.5
172,176.12573772429351,feat_high,1.5
175,178.95129669700404,con_high,1.5
178,181.5096489314661,feat_high,1.5
181,184.03857445576102,feat_low,1.5
184,187.328831150148,feat_high,1.5
187,189.99279601668488,con_low,1.5
190,192.8353553791778,feat_high,1.5
193,200.8353553791778,break_message,4.0
199,214.05661936401196,con_high,1.5
202,217.00704618939488,feat_low,1.5
205,219.59079840533468,feat_low,1.5
208,222.7019016544655,con_high,1.5
211,225.26307573273402,feat_high,1.5
214,227.8732036390044,feat_low,1.5
217,230.44449519738498,con_low,1.5
220,233.5455887485729,feat_low,1.5
223,236.10519972344198,con_high,1.5
226,239.47549429194692,feat_high,1.5
229,242.2519132625728,con_low,1.5
232,244.9934536404515,feat_high,1.5
235,247.65651632876978,con_low,1.5
238,250.2584896256257,feat_high,1.5
241,252.7602145736882,con_low,1.5
244,255.4628963780257,con_low,1.5
247,258.35967151006463,feat_low,1.5
250,260.8958267837614,feat_high,1.5
253,263.846728624529,con_high,1.5
256,266.47635644589514,con_low,1.5
259,270.1427781236867,con_high,1.5
262,273.08292916157234,feat_low,1.5
265,275.63459469304547,con_high,1.5
268,278.6148821303949,feat_high,1.5
271,281.7435478938584,con_low,1.5
274,284.7751228995908,con_high,1.5
277,287.3568792977927,con_high,1.5
280,291.11910217461667,feat_high,1.5
283,293.6762483027357,feat_high,1.5
286,296.5361996417517,feat_high,1.5
