,onset,trial_type,duration
1,2.730305983835679,emc,16.0
9,18.730305983835677,recall,5.0
11,26.693702253492425,emc,16.0
19,42.693702253492425,recall,5.0
21,56.50643425215078,emc,16.0
29,72.50643425215078,recall,5.0
31,79.90407378789034,emc,16.0
39,95.90407378789034,recall,5.0
41,103.39367357109171,emc,16.0
49,119.39367357109171,recall,5.0
51,134.0517405535537,emc,16.0
59,150.0517405535537,recall,5.0
61,158.29683839601375,emc,16.0
69,174.29683839601375,recall,5.0
71,186.06570161844343,emc,16.0
79,202.06570161844343,recall,5.0
81,213.06570161844343,break_message,4.0
84,226.01616920668332,emc,16.0
92,242.01616920668332,recall,5.0
94,252.10782524891516,emc,16.0
102,268.10782524891516,recall,5.0
104,276.1451451614811,emc,16.0
112,292.1451451614811,recall,5.0
114,300.85274146440986,emc,16.0
122,316.85274146440986,recall,5.0
124,327.73500094467175,emc,16.0
132,343.73500094467175,recall,5.0
134,351.8664033003813,emc,16.0
142,367.8664033003813,recall,5.0
144,379.34093353399163,emc,16.0
152,395.34093353399163,recall,5.0
154,402.4467267883761,emc,16.0
162,418.4467267883761,recall,5.0
164,429.4467267883761,break_message,4.0
167,441.68069944183605,emc,16.0
175,457.68069944183605,recall,5.0
177,464.9027832506882,emc,16.0
185,480.9027832506882,recall,5.0
187,488.7674126211579,emc,16.0
195,504.7674126211579,recall,5.0
197,511.8565430050033,emc,16.0
205,527.8565430050032,recall,5.0
207,541.732173411304,emc,16.0
215,557.732173411304,recall,5.0
217,565.0025263694283,emc,16.0
225,581.0025263694283,recall,5.0
227,602.9808359199283,emc,16.0
235,618.9808359199283,recall,5.0
237,630.2012399256454,emc,16.0
245,646.2012399256454,recall,5.0
247,657.2012399256454,break_message,4.0
